coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
ETH,169.0595,4732.05,798704.7018,-1294.345564,25.0,31948.188072,1755934329345,2025-08-23 07:32:09
ETH,211.4234,4729.84,998172.15608,-1826.863184,25.0,39926.886243,1755934391514,2025-08-23 07:33:11
ETH,169.4055,4729.84,802795.72395,1534.681617,25.0,32111.828958,1755935000751,2025-08-23 07:43:20
ETH,129.0657,4729.84,610971.21066,510.999447,25.0,24438.848426,1755935058661,2025-08-23 07:44:18
ETH,213.8743,4724.55,1008631.1988,-1828.652813,25.0,40345.247952,1755935234767,2025-08-23 07:47:14
ETH,256.3326,4722.22,1207018.94688,-3440.724633,25.0,48280.757875,1755937449605,2025-08-23 08:24:09
ETH,298.8405,4719.77,1407329.56665,-3129.774363,25.0,56293.182666,1755937753656,2025-08-23 08:29:13
ETH,21.263,4703.0,99955.2367,-44.6523,25.0,3998.209468,1755950341085,2025-08-23 11:59:01
ETH,0.0059,4703.0,27.86452,0.11682,25.0,1.11458,1755951313777,2025-08-23 12:15:13
ETH,22.8918,4369.18,100018.85256,0.31917,25.0,4000.754102,1756154706528,2025-08-25 20:45:06
ETH,45.8275,4364.58,199908.7205,-109.46489,25.0,7996.34882,1756154945834,2025-08-25 20:49:05
ETH,91.8045,4356.55,398936.45475,-1014.82655,25.0,15957.45819,1756155002217,2025-08-25 20:50:02
ETH,114.8459,4353.09,500291.70958,356.88126,25.0,20011.668383,1756155063915,2025-08-25 20:51:03
ETH,0.0001,4353.09,0.43756,0.002251,25.0,0.017502,1756155368027,2025-08-25 20:56:08
ETH,22.9621,4355.0,100022.9076,22.9621,25.0,4000.916304,1756157402581,2025-08-25 21:30:02
ETH,0.0001,4354.99,0.43783,0.002331,25.0,0.017513,1756157882415,2025-08-25 21:38:02
ETH,2.2867,4374.79,9999.7391,-4.114079,25.0,399.989564,1756163702410,2025-08-25 23:15:02
ETH,6.8727,4365.58,29979.40467,-23.977709,25.0,1199.176186,1756164245614,2025-08-25 23:24:05
ETH,29.8242,4358.97,129848.60196,-154.465919,25.0,5193.944078,1756164425763,2025-08-25 23:27:05
ETH,0.0001,4358.97,0.43776,0.001863,25.0,0.01751,1756165325744,2025-08-25 23:42:05
ETH,22.9464,4358.0,99947.63448,-52.776817,25.0,3997.905379,1756166945292,2025-08-26 00:09:05
ETH,45.9401,4353.49,199697.02069,-302.991907,25.0,7987.880827,1756167062407,2025-08-26 00:11:02
ETH,68.955,4350.39,299830.131,-151.210177,25.0,11993.20524,1756167185282,2025-08-26 00:13:05
ETH,0.144,4350.39,627.84,1.383426,25.0,25.1136,1756167307843,2025-08-26 00:15:07
ETH,24.2642,4358.55,105760.36854,3.48936,25.0,4230.414741,1756168807842,2025-08-26 00:40:07
ETH,47.2527,4354.39,205416.93744,-339.91674,25.0,8216.677497,1756169105320,2025-08-26 00:45:05
ETH,93.3303,4346.41,403868.20719,-1783.97376,25.0,16154.728287,1756169172417,2025-08-26 00:46:12
ETH,0.3154,4344.12,1372.21078,2.074304,25.0,54.888431,1756169222987,2025-08-26 00:47:02
ETH,23.3462,4342.02,101324.84262,-45.027456,25.0,4052.993704,1756169586131,2025-08-26 00:53:06
